Users,SVC,K-NN,extra_trees
1,1.51E-01,6.17E-01,7.23E-01
2,4.57E-01,7.55E-01,8.23E-01
3,4.11E-01,7.82E-01,8.97E-01
4,3.72E-01,7.36E-01,7.68E-01
5,4.03E-01,7.16E-01,7.78E-01
6,2.63E-01,8.21E-01,8.94E-01
7,4.12E-01,7.36E-01,8.27E-01
8,4.25E-01,7.69E-01,8.39E-01
9,4.47E-01,6.74E-01,6.83E-01
10,4.18E-01,6.41E-01,7.15E-01
11,2.84E-01,7.56E-01,8.61E-01
12,4.60E-01,6.75E-01,6.67E-01
13,4.24E-01,7.69E-01,8.39E-01
14,4.63E-01,7.55E-01,8.30E-01
15,4.79E-01,7.68E-01,8.43E-01
16,3.53E-01,7.29E-01,7.81E-01
17,4.94E-01,6.74E-01,7.75E-01
18,4.06E-01,7.62E-01,8.41E-01
19,4.79E-01,7.48E-01,7.96E-01
20,4.47E-01,7.62E-01,7.17E-01
21,4.66E-01,7.48E-01,7.90E-01
22,4.25E-01,7.53E-01,7.89E-01
23,2.69E-01,6.92E-01,8.62E-01
24,3.82E-01,7.20E-01,7.70E-01
25,4.43E-01,7.70E-01,8.31E-01
26,3.93E-01,8.10E-01,8.72E-01
27,4.72E-01,7.79E-01,7.90E-01
28,4.82E-01,5.99E-01,7.27E-01
29,4.75E-01,6.05E-01,6.41E-01
30,4.42E-01,6.65E-01,8.03E-01
,,,
,,,