user,k-NN,extra-Trees,SVC
MotionSense_1,0.560578662,0.779385172,0.459312839
MotionSense_10,0.714825307,0.887629839,0.891406988
MotionSense_11,0.640438247,0.922310757,0.874501992
MotionSense_12,0.430944964,0.701973001,0.53271028
MotionSense_13,0.649635036,0.873826903,0.831074035
MotionSense_14,0.757068063,0.930890052,0.890052356
MotionSense_15,0.78593914,0.763903463,0.802728227
MotionSense_16,0.683315622,0.817215728,0.772582359
MotionSense_17,0.632653061,0.943071966,0.711063373
MotionSense_18,0.536612022,0.757377049,0.853551913
MotionSense_19,0.753846154,0.901098901,0.797802198
MotionSense_2,0.716960352,0.906387665,0.797356828
MotionSense_20,0.843963554,0.951025057,0.937357631
MotionSense_21,0.78375286,0.861556064,0.860411899
MotionSense_22,0.728323699,0.693641618,0.749132948
MotionSense_23,0.675990676,0.713286713,0.803030303
MotionSense_24,0.729288215,0.933488915,0.793465578
MotionSense_3,0.834117647,0.892941176,0.86
MotionSense_4,0.647337278,0.930177515,0.834319527
MotionSense_5,0.672661871,0.822541966,0.877697842
MotionSense_6,0.835178352,0.884378844,0.904059041
MotionSense_7,0.624530663,0.778473091,0.644555695
MotionSense_8,0.853846154,0.921794872,0.926923077
MotionSense_9,0.73042362,0.896020539,0.85237484
,,,
mean,0.700926301,0.852683203,0.802394657
stdev,0.102892762,0.082104416,0.116417144